username,from,campaigndate,sent_count,delivered_count,submitted_count,failed_count,total base,wabacount,nonwabacount
DeltaDiagnosticWapp,919900009407,2024-11-23,1,158,0,10,169,159,10
MiabyTanishqWapp,918147747803,2024-11-23,0,0,0,1,1,1,0
PositiveDesigns0876Wapp,919718592666,2024-11-25,2,108,0,90,200,169,31
MiabyTanishqWapp,918147747803,2024-11-25,0,7,0,0,7,7,0
SoundscapeWapp,917795967414,2024-11-26,1,87,0,54,142,133,9
KASHTIFINSERV1698Wapp,919980123052,2024-11-26,4,230,1,130,365,340,25
Imagine_WSOFT,917795967412,2024-11-26,0,0,0,446,446,446,0
MediScanWapp,919148229992,2024-11-16,2,266,12,104,384,368,16
FastrakEyewerWa_MOE,918951985791,2024-11-18,233,10163,1,4667,15064,14402,662
TitanEyeplusWapp,918147747358,2024-11-18,0,7,0,3,10,10,0
EncircleWapp_Tech,918147745515,2024-11-18,0,13,0,1,14,14,0
WorldofTitanWapp,918147747357,2024-11-18,28,1584,0,642,2254,2042,212
VyaparAppWapp,918447702899,2024-11-18,9836,170996,2,10623,191457,182755,8702
IcatWapp,917824831993,2024-11-19,65,2594,0,289,2948,2659,289
ManipalBusinessSolutions6192Wapp,918448441789,2024-11-19,0,8,0,1,9,9,0
AryansgroupWapp,919646699888,2024-11-19,0,2,0,0,2,2,0
V2RetailWapp,918130907705,2024-11-20,13320,254251,16,117988,385575,284194,101381
MahindraTractorsWapp,917738038456,2024-11-20,2859,38108,4,28169,69140,42927,26213
FastrakEyewerWa_MOE,918951985791,2024-11-21,293,13033,104,5847,19277,18451,826
PositiveDesigns0876Wapp,919718592666,2024-11-21,5,138,0,83,226,180,46
KASHTIFINSERV1698Wapp,919980123052,2024-11-21,1,40,2,19,62,61,1
DeltaDiagnosticWapp,919900009407,2024-11-22,6,137,0,8,151,143,8
AnushInfobaseWapp,918050555432,2024-11-23,0,48,0,4,52,52,0
WRANGLERWapp,918197909346,2024-11-23,731,13198,0,5775,19704,17098,2606
SoundscapeWapp,918951928369,2024-11-23,7,166,0,236,409,391,18
RagavsresearchWapp,919538821110,2024-11-24,1,267,0,46,314,307,7
AnushInfobaseWapp,918050555432,2024-11-25,0,33,0,7,40,40,0
AryansgroupWapp,919646699888,2024-11-25,0,5,0,0,5,5,0
FatakPayWapp1,919820476476,2024-11-26,7827,89564,1,24754,122146,115331,6815
MiabyTanishqWapp,918147747803,2024-11-16,0,1,0,0,1,1,0
Imagine_WSOFT,917795967412,2024-11-17,0,0,0,671,671,671,0
AryansgroupWapp,919646699888,2024-11-17,0,3,0,0,3,3,0
FastrakEyewerWa_MOE,918951985791,2024-11-17,249,10364,0,4902,15515,14857,658
KaamProKaamPro_tech8662Wapp,917240066111,2024-11-18,0,3,0,0,3,3,0
MiabyTanishqWapp,918147747803,2024-11-18,0,7,0,0,7,7,0
V2RetailWapp,918130907705,2024-11-19,1,318,0,17,336,319,17
FatakPayWapp1,919820476476,2024-11-19,1534,24573,0,27704,53811,51913,1898
lendingplateMarketing8652Wapp,919266842428,2024-11-19,0,6,0,0,6,6,0
CarzonrentWapp,918882222222,2024-11-19,27,2216,0,617,2860,2545,315
Soundscap_WSOFT,919606018595,2024-11-20,0,10,0,8,18,16,2
ManipalBusinessSolutions6192Wapp,918448441789,2024-11-20,0,3,0,8,11,10,1
TitanEncircle,918147745515,2024-11-20,1,10,0,48,59,59,0
IcatWapp,917824831993,2024-11-21,142,8463,1,644,9250,8611,639
VEROMODAWapp,918655628865,2024-11-22,10477,90294,0,30011,130782,130230,552
SoundscapeWapp,918951928366,2024-11-22,2,10,0,60,72,68,4
KASHTIFINSERV1698Wapp,919980123052,2024-11-22,0,32,0,37,69,55,14
SoundscapeWapp,917795967414,2024-11-22,1,83,0,50,134,130,4
ManipalBusinessSolutions6192Wapp,918448441789,2024-11-22,0,3,0,5,8,8,0
FastrakEyewerWa_MOE,918951985791,2024-11-23,386,15264,0,7491,23141,22093,1048
SoundscapeWapp,917795967414,2024-11-23,987,20678,0,20342,42007,37112,4895
TaruniClothing3031Wapp,919100011970,2024-11-23,236,9576,0,15283,25095,23043,2052
VEROMODAGIRLEmbWapp,918655913950,2024-11-23,43,432,0,1207,1682,1663,19
VEROMODAWapp,918655628709,2024-11-23,410,5332,0,3020,8762,8760,2
Soundscap_WSOFT,919606018595,2024-11-24,0,12,0,14,26,25,1
SoundscapeWapp,917795967414,2024-11-24,2,40,0,32,74,72,2
MediScanWapp,919148229992,2024-11-24,4,199,0,41,244,233,11
Soundscap_WSOFT,919606018595,2024-11-25,0,6,0,4,10,9,1
DeltaDiagnosticWapp,919900009407,2024-11-25,2,113,0,8,123,115,8
TitanEncircle,918147745515,2024-11-25,1,33,0,63,97,97,0
TaneiraWapp,918147747804,2024-11-25,0,1,0,0,1,1,0
CarzonrentWapp,918882222222,2024-11-26,12,2118,32,631,2793,2507,286
CarzonrentWapp,918882222222,2024-11-16,13,1237,62,544,1856,1568,288
VyaparAppWapp,918447702899,2024-11-17,13063,319297,32,16984,349376,335855,13521
TanishqWapp,918147747356,2024-11-17,0,2,0,1,3,3,0
SoundscapeWapp,917795967414,2024-11-18,4,136,0,45,185,183,2
MediScanWapp,919148229992,2024-11-18,12,377,9,114,512,480,32
SELECTEDHOMMEWapp,918655628715,2024-11-19,814,14184,0,8710,23708,23635,73
MahindraTractorsWapp,917738038456,2024-11-19,648,10176,22,5762,16608,11473,5135
FatakPayWapp1,918828855383,2024-11-19,248,3066,0,725,4039,3831,208
SoundscapeWapp,917795967414,2024-11-20,3,107,0,47,157,148,9
Imagine_LM,916366310359,2024-11-20,15,1558,0,198,1771,1759,12
RafterWapp,919606790640,2024-11-20,505,3055,0,1683,5243,4687,556
IcatWapp,917824831993,2024-11-20,49,1662,0,146,1857,1712,145
FatakPayWapp1,918828855383,2024-11-20,965,7862,0,717,9544,9067,477
V2RetailWapp,918130907705,2024-11-21,0,348,0,2,350,348,2
Imagine_LM,916366310359,2024-11-21,2,1174,4,184,1364,1335,29
KaamProKaamPro_tech8662Wapp,917240066111,2024-11-21,0,1,0,0,1,1,0
encircle,918147745515,2024-11-22,0,0,1,0,1,1,0
FatakPayWapp1,918828855360,2024-11-22,9409,44606,0,4761,58776,54053,4723
SoundscapeWapp,918951928356,2024-11-23,5,330,0,402,737,718,19
Imagine_WSOFT,917795967412,2024-11-24,0,0,0,674,674,674,0
CarzonrentWapp,918882222222,2024-11-25,61,2201,0,538,2800,2503,297
1ststepWapp,919940924255,2024-11-26,2,192,0,16,210,194,16
MediScanWapp,919148229992,2024-11-26,9,311,0,114,434,397,37
RagavsresearchWapp,919538821110,2024-11-26,7,433,0,77,517,486,31
SoundscapeWapp,917795967414,2024-11-30,3,75,0,52,130,124,6
AryansgroupWapp,919646699888,2024-11-30,0,6,0,0,6,6,0
Imagine_LM,916366310359,2024-11-30,12,1621,0,534,2167,2119,48
MPokketWapp,919147163607,2024-11-29,3,10,0,2,15,15,0
TitanEncircle,918147745515,2024-11-29,0,17,0,21,38,38,0
V2RetailWapp,918130907705,2024-11-29,5,240,0,3,248,245,3
EncircleWapp_Tech,918147745515,2024-11-29,0,4,0,2,6,4,2
FatakPayWapp1,918828855360,2024-11-28,21025,100522,88,20349,141984,123138,18846
1ststepWapp,919940924255,2024-11-28,10,252,1,18,281,268,13
FatakPayWapp1,918828855360,2024-11-27,8930,50586,44,6516,66076,60912,5164
TitanEncircle,918147745515,2024-11-30,3028,102418,12,65361,170819,155592,15227
MahindraTractorsWapp,917738038456,2024-11-30,1159,14376,0,9658,25193,17020,8173
AryansgroupWapp,919646699888,2024-11-29,0,5,0,0,5,5,0
VEROMODAGIRLEmbWapp,918655913950,2024-11-29,132,1104,0,2722,3958,3774,184
JackandJonesJuniorWapp,918655628706,2024-11-29,215,2396,0,1630,4241,4235,6
SoundscapeWapp,917795967414,2024-11-29,0,76,0,44,120,112,8
Imagine_WSOFT,917795967412,2024-11-28,0,0,0,465,465,465,0
SoundscapeWapp,917795967414,2024-11-27,3,106,0,58,167,159,8
FatakPayWapp1,919820476476,2024-11-27,5498,57780,42,408813,472133,467653,4480
CarzonrentWapp,918882222222,2024-11-27,23,2199,0,636,2858,2586,272
TitanEncircle,919980885101,2024-11-30,1531,53474,5,31499,86509,78308,8201
MiabyTanishqWapp,918147747803,2024-11-29,0,3,0,0,3,3,0
DeltaDiagnosticWapp,919900009407,2024-11-29,0,114,0,9,123,114,9
FastrakEyewerWa_MOE,918951985791,2024-11-29,445,16056,104,9653,26258,25030,1228
VEROMODAGIRLEmbWapp,918655913948,2024-11-28,0,15,0,37,52,52,0
NarayanNethralayaWapp,919900557605,2024-11-28,428,9327,0,11766,21521,19229,2292
ImagineByAmpleWapp,918951928647,2024-11-28,1894,20103,0,25908,47905,44731,3174
SELECTEDHOMMEWapp,918655628716,2024-11-27,876,11186,0,10284,22346,21963,383
VEROMODAGIRLEmbWapp,918655913950,2024-11-27,0,3,0,10,13,13,0
CASARetailAI7544Wapp,917738286251,2024-11-27,0,6,0,3,9,9,0
SCHELLINDIAPRIVATELIMITED6058Wapp,916366936722,2024-11-27,0,2,0,0,2,2,0
FatakPayWapp1,918828855360,2024-11-30,13174,69668,0,7463,90305,82963,7342
ONLYWapp,918655628718,2024-11-30,686,6137,0,3055,9878,9614,264
1ststepWapp,919940924255,2024-11-29,2,252,0,21,275,255,20
MissionNatureEnzo7343Wapp,919877257673,2024-11-29,0,6,0,4,10,10,0
RagavsresearchWapp,919538821110,2024-11-29,2,324,0,13,339,326,13
TitanEncircle,918147745515,2024-11-28,2,16,0,44,62,62,0
MiabyTanishqWapp,918147747803,2024-11-28,0,18,0,0,18,18,0
PantaloonsWapp,918657876585,2024-11-28,0,4,0,7,11,10,1
JACKnJONESWapp,918655628707,2024-11-27,7829,98410,0,40692,146931,146777,154
WorldofTitanWapp,918147747357,2024-11-27,20,949,0,393,1362,1237,125
MediScanWapp,919148229992,2024-11-27,4,238,0,91,333,300,33
1ststepWapp,919940924255,2024-11-30,5,251,0,22,278,256,22
MPokketWapp,919147163607,2024-11-30,3,10,0,0,13,13,0
TanishqWapp,918147747356,2024-11-30,0,7,0,1,8,8,0
CarzonrentWapp,918882222222,2024-11-29,4,1829,1,586,2420,2139,281
ONLYWapp,918655628718,2024-11-29,9038,67054,0,41305,117397,115633,1764
Imagine_LM,916366310359,2024-11-28,9,419,0,502,930,872,58
EncircleWapp_Tech,918147745515,2024-11-28,0,2,0,0,2,2,0
ONLYWapp,918655853438,2024-11-28,712,5960,0,3393,10065,9802,263
CarzonrentWapp,918882222222,2024-11-28,23,1977,0,711,2711,2343,368
JackandJonesJuniorWapp,918655628704,2024-11-28,314,3756,0,2406,6476,6467,9
SoundscapeWapp,917795967414,2024-11-28,4,122,0,64,190,180,10
RagavsresearchWapp,919538821110,2024-11-27,5,395,0,11,411,400,11
DeltaDiagnosticWapp,919900009407,2024-11-27,1,110,0,7,118,111,7
ImagineByAmpleWapp,919606024009,2024-11-27,3,34,0,13,50,47,3
FastrackEyewearWapp,918951985791,2024-11-30,8826,292995,0,164338,466159,436744,29415
supportdemo,918296016817,2024-11-30,0,0,0,1,1,1,0
CASARetailAI7544Wapp,917738286251,2024-11-29,0,1,0,0,1,1,0
TanishqWapp,918147747356,2024-11-29,0,5,0,0,5,5,0
FatakPayWapp1,918828855383,2024-11-28,2787,9627,0,3544,15958,14904,1054
RagavsresearchWapp,919538821110,2024-11-28,1,352,0,23,376,354,22
ImagineByAmpleWapp,919606024008,2024-11-28,0,1,0,0,1,1,0
DeltaDiagnosticWapp,919900009407,2024-11-28,3,109,0,12,124,112,12
VyaparAppWapp,918447702899,2024-11-28,17483,367925,2,21142,406552,392043,14509
VEROMODAGIRLEmbWapp,918655913949,2024-11-28,57,482,0,1157,1696,1672,24
Helios-Wapp,918147747801,2024-11-28,51,1682,0,1349,3082,2784,298
IcatWapp,917824831993,2024-11-28,127,1617,0,152,1896,1750,146
1ststepWapp,919940924255,2024-11-27,2,213,0,17,232,215,17
PantaloonsWapp,918657876584,2024-11-29,38040,822070,71,259468,1119649,1053780,65869
Imagine_LM,916366310359,2024-11-29,14,561,1,690,1266,1191,75
JACKnJONESWapp,918655628707,2024-11-29,10398,124915,0,59096,194409,194127,282
SELECTEDHOMMEWapp,918655628716,2024-11-29,792,9464,0,12072,22328,21961,367
CASARetailAI7544Wapp,917738286251,2024-11-28,0,1,0,1,2,2,0
FastrakEyewerWa_MOE,918951985791,2024-11-28,461,16486,80,8741,25768,24567,1201
AnushInfobaseWapp,918050555432,2024-11-28,0,25,0,5,30,30,0
FastrakEyewerWa_MOE,918951985791,2024-11-27,445,15602,10,9049,25106,23909,1197
ManipalBusinessSolutions6192Wapp,918448441789,2024-11-27,0,4,0,7,11,11,0
VyaparAppWapp,918447702899,2024-11-27,18763,452291,4,21672,492730,475684,17046
demoac,918147745516,2024-11-27,0,8,0,0,8,8,0
V2RetailWapp,918130907705,2024-11-27,2,382,0,7,391,384,7
MediScanWapp,919148229992,2024-11-30,3,270,0,99,372,339,33
V2RetailWapp,918130907705,2024-11-30,0,172,0,2,174,172,2
MangohillsWapp,918585854615,2024-11-30,0,1,0,1,2,2,0
MahindraTractorsWapp,917738038456,2024-11-29,0,3,0,4,7,6,1
Helios-Wapp,918147747801,2024-11-29,53,1479,0,1430,2962,2689,273
CASARetailAI7544Wapp,917738286251,2024-11-30,0,15,0,12,27,23,4
ICSMobileEmbedWABA1,918296016807,2024-11-29,0,0,0,4,4,4,0
KASHTIFINSERV1698Wapp,919980123052,2024-11-29,4,115,2,49,170,158,12
AnushInfobaseWapp,918050555432,2024-11-29,0,14,0,6,20,19,1
WRANGLERWapp,918197909346,2024-11-29,3644,57808,0,30938,92390,81835,10555
WorldofTitanWapp,918147747357,2024-11-28,29,891,0,392,1312,1162,150
LeeClubWapp,918861451265,2024-11-29,2207,33707,0,20357,56271,49347,6924
FastrackEyewearWapp,918951985791,2024-11-28,8895,348643,214,107881,465633,436493,29140
JACKnJONESWapp,918655628869,2024-11-28,2386,33919,0,16491,52796,52698,98
ImagineByAmpleWapp,919606018596,2024-11-29,9254,76831,29,133501,219615,202308,17307
FatakPayWapp1,919820476476,2024-11-28,6728,106881,117,252146,365872,357798,8074
WorldofTitanWapp,918147747357,2024-11-29,21,963,0,577,1561,1385,176
PantaloonsWapp,918657876584,2024-11-28,0,10,0,12,22,19,3
VEROMODAGIRLEmbWapp,918655913949,2024-11-27,145,1386,0,2440,3971,3786,185
JackandJonesJuniorWapp,918655628703,2024-11-27,0,3,0,14,17,17,0
TanishqWapp,918147747356,2024-11-27,0,5,0,0,5,5,0
FatakPayWapp1,918828855383,2024-11-27,3256,9300,0,4542,17098,15768,1330
MissionNatureEnzo7343Wapp,919877257673,2024-11-30,0,7,0,5,12,12,0
FatakPayWapp1,918828855383,2024-11-30,2986,48757,0,21282,73025,69822,3203
WorldofTitanWapp,918147747357,2024-11-30,22,914,0,561,1497,1340,157
MediScanWapp,919148229992,2024-11-29,6,221,0,99,326,288,38
BookeepersBookeepers_tech3668Wapp,9289959639,2024-11-29,0,0,0,2,2,2,0
FatakPayWapp1,918828855383,2024-11-29,1929,29007,1,9684,40621,38538,2083
FatakPayWapp1,919820476476,2024-11-29,12553,135725,454,272595,421327,409152,12175
Soundscap_WSOFT,919606018595,2024-11-29,0,17,0,19,36,35,1
VEROMODAWapp,918655628709,2024-11-28,1270,10196,0,3419,14885,14848,37
ONLYWapp,918655628718,2024-11-28,0,3,0,1,4,4,0
AryansgroupWapp,919646699888,2024-11-28,18,382,0,134,534,431,103
MediScanWapp,919148229992,2024-11-28,6,230,19,85,340,317,23
SELECTEDHOMMEWapp,918655853436,2024-11-28,265,2861,0,2321,5447,5351,96
KASHTIFINSERV1698Wapp,919980123052,2024-11-28,82,1804,0,224,2110,1960,150
ManipalBusinessSolutions6192Wapp,918448441789,2024-11-28,0,15,0,1,16,16,0
AnushInfobaseWapp,918050555432,2024-11-27,0,47,0,4,51,51,0
VEROMODAWapp,918655628867,2024-11-27,9346,83693,0,38339,131378,131125,253
MPokketWapp,919147163607,2024-11-27,3,12,0,2,17,17,0
Imagine_WSOFT,917795967412,2024-11-30,0,0,0,651,651,651,0
JACKnJONESWapp,918655853425,2024-11-30,3144,33345,0,14933,51422,51322,100
VyaparAppWapp,918447702899,2024-11-30,16631,372813,8,18760,408212,393279,14933
KASHTIFINSERV1698Wapp,919980123052,2024-11-30,2,107,0,57,166,157,9
FastrakEyewerWa_MOE,918951985791,2024-11-30,458,16177,3,9752,26390,25173,1217
SELECTEDHOMMEWapp,918655628716,2024-11-30,219,3024,0,2148,5391,5297,94
FastrackWapp,918147747802,2024-11-30,0,1,0,0,1,1,0
VyaparAppWapp,918447702899,2024-11-29,16078,332600,91,17247,366016,352359,13657
ManipalBusinessSolutions6192Wapp,918448441789,2024-11-29,0,8,0,2,10,10,0
FastrackWapp,918147747802,2024-11-29,0,3,0,0,3,3,0
TaneiraWapp,918147747804,2024-11-28,0,2,0,0,2,2,0
TitanEyeplusWapp,918147747358,2024-11-27,400,3609,0,2408,6417,5616,801
VEROMODAWapp,918655853409,2024-11-30,1286,10375,0,3224,14885,14846,39
Helios-Wapp,918147747801,2024-11-30,52,1679,0,1664,3395,3096,299
JackandJonesJuniorWapp,918655628704,2024-11-30,40,621,0,321,982,980,2
VEROMODAWapp,918655853409,2024-11-29,9775,80480,0,41121,131376,131113,263
ARCLARCL_tech9041Wapp,919330329226,2024-11-29,24,280,0,123,427,371,56
Soundscap_WSOFT,919606018595,2024-11-28,1,4,0,7,12,11,1
MangohillsWapp,918585854615,2024-11-27,0,9,0,5,14,14,0
VEROMODAGIRLEmbWapp,918655913951,2024-11-30,62,770,0,838,1670,1644,26
DeltaDiagnosticWapp,919900009407,2024-11-30,0,130,0,8,138,130,8
MiabyTanishqWapp,918147747803,2024-11-30,0,0,0,1,1,1,0
FatakPayWapp1,918828855360,2024-11-29,7411,40878,0,4508,52797,48324,4473
KambarGroupWapp,919611006327,2024-11-28,398,2402,0,1759,4559,4095,464
MPokketWapp,919147163607,2024-11-28,1,2,0,0,3,3,0
TanishqWapp,918147747356,2024-11-28,0,7,0,1,8,8,0
Imagine_LM,916366310359,2024-11-27,4,445,0,438,887,827,60
Imagine_WSOFT,917795967412,2024-11-27,0,0,0,451,451,451,0
AryansgroupWapp,919646699888,2024-11-27,0,5,0,1,6,6,0
Helios-Wapp,918147747801,2024-11-27,74,2304,0,1754,4132,3727,405
MiabyTanishqWapp,918147747803,2024-11-27,0,1,0,0,1,1,0
FatakPayWapp1,919820476476,2024-11-30,8123,70977,0,35278,114378,107953,6425
Soundscap_WSOFT,919606018595,2024-11-30,0,17,0,25,42,41,1
RagavsresearchWapp,919538821110,2024-11-30,0,424,0,20,444,424,20
EncircleWapp_Tech,918147745515,2024-11-30,0,1,0,0,1,1,0
ARCLARCL_tech9041Wapp,919330329226,2024-11-30,4,92,0,73,169,150,19
propsharksWapp,918968961200,2024-11-29,0,0,0,11786,11786,11786,0
V2RetailWapp,918130907705,2024-11-28,1,211,0,5,217,214,3
VEROMODAGIRLEmbWapp,918655913950,2024-11-28,0,4,0,9,13,13,0
KASHTIFINSERV1698Wapp,919980123052,2024-11-27,6,260,1,128,395,353,42
ONLYWapp,918655853438,2024-11-27,6994,51222,0,22341,80557,79823,734
TitanEncircle,918147745515,2024-11-27,0,17,0,35,52,52,0
PositiveDesigns0876Wapp,919718592666,2024-11-30,2,87,0,86,175,146,29
CarzonrentWapp,918882222222,2024-11-30,15,1252,0,319,1586,1402,184
RafterWapp,919606790640,2024-11-30,451,2464,0,2343,5258,4697,561
Imagine_WSOFT,917795967412,2024-11-29,0,0,0,534,534,534,0
VEROMODAGIRLEmbWapp,918655913951,2024-11-27,0,6,0,20,26,26,0
AnushInfobaseWapp,918050555432,2024-11-30,0,9,0,9,18,17,1
BookeepersBookeepers_tech3668Wapp,919289959639,2024-11-29,0,8,0,31,39,39,0
VEROMODAGIRLEmbWapp,918655913951,2024-11-28,0,0,0,13,13,13,0
Soundscap_WSOFT,919606018595,2024-11-27,0,9,0,16,25,25,0
